Brand,Productname,Introduction,bikeimage,value
Motorcycle,微星MSI GeForce RTX 3080 10G VENTUS 3X OC PCI-E顯示卡,"微星MSI GeForce RTX 3080 10G VENTUS 3X OC PCI-E顯示卡\r\n首批完售︱敬請期待..
核心 記憶體
• boost clock   memory speed
   tbd   tbd
• 10gb gddr6x
• displayport x 3 (v1.4a)   hdmi 2.1 x 1

石墨烯背板
• 輕巧的複合石墨烯背板可增強顯示卡的支撐力，並提供被動的導熱性能。

方形導熱管
• 方形導熱管經過精密加工，可確保與gpu最大的接觸面，並讓整組散熱片進行降溫散熱。

三風扇散熱設計
• torx fan 3.0: 屢獲殊榮的 msi torx fan 3.0 扇葉設計創造高風壓，突破散熱極限。
• zero frozr: 暴風來臨前，讓風扇靜止保持安靜，直到需要啟動散熱為止。
• thermal padding: 大量的導熱墊片能將零組件上的熱能快速傳導，以獲得更好的散熱效果。

dragon center
• msi 獨家 dragon center 軟體可即時提供監控、調整並優化msi系列產品。",https://c.ecimg.tw/items/DRAD1RA900B156W/000001_1607310295.jpg,26000
Motorcycle,微星MSI GeForce RTX 3070 8G SUPRIM X PCI-E 顯示卡,"微星MSI GeForce RTX 3070 8G SUPRIM X PCI-E 顯示卡\r\n補貨中︱敬請期待..
● 8gb gddr6
● torx fan 4.0
● 方形導熱管
● 雙 bios提供效能全開的遊戲模式、低噪靜音模式

品 牌：msi
原廠型號： geforce rtx 3070 suprim x 8g",https://c.ecimg.tw/items/DRAD1RA900B154L/000002_1607309363.jpg,21000
Motorcycle,微星MSI GeForce RTX 3080 10G SUPRIM X PCI-E顯示卡,"微星MSI GeForce RTX 3080 10G SUPRIM X PCI-E顯示卡\r\n首批完售︱敬請期待..
● 10gb gddr6x
● torx fan 4.0
● 方形導熱管
● 雙 bios 提供效能全開的遊戲模式、低噪靜音模式",https://c.ecimg.tw/items/DRAD1RA900B1568/000002_1607310649.jpg,30000
Motorcycle,微星MSI GeForce RTX 3060 Ti 8G GAMING X TRIO PCI-E顯示卡,"微星MSI GeForce RTX 3060 Ti 8G GAMING X TRIO PCI-E顯示卡\r\n限量是殘酷的︱補貨中，敬請期待..
核心 記憶體
• 1830 mhz   14 gbps
• 8gb gddr6
• displayport x 3   hdmi x 1

tri frozr 2 散熱設計
• torx fan 4.0: 設計核心在於協同合作，將葉片兩兩連結，創下前所未有的氣壓聚集量。
• 方形導熱管: 方形導熱管經過精密加工，可確保與gpu最大的接觸面，並讓整組散熱片進行降溫散熱。
• 氣流控制: 氣流控制將冷風精確引導到所需的位置，以實現最大程度的散熱。

rgb mystic light
• mystic light可讓您完全控制 msi 產品，同時也可與其他rgb設備進行rgb燈效連動。

dragon center
• msi 獨家 dragon center 軟體可即時提供監控、調整並優化msi系列產品。",https://c.ecimg.tw/items/DRAD1RA900B1ITK/000002_1607674435.jpg,16000
Motorcycle,SIGMA 30mm F1.4 DC DN Contemporary(公司貨) for SONY E-MOUNT,"SIGMA 30mm F1.4 DC DN Contemporary(公司貨) for SONY E-MOUNT\r\n■a6500 a6300 a6000 a5100 a5000 nex5n nex3n a7專用鏡(不需轉接環) 
● 恆伸公司貨，三年保固 
● f1.4 大光圈標準鏡頭 
● 步進式馬達 
● e-mount 版本",https://c.ecimg.tw/items/DGBS2VA9009GDGQ/000001_1538462029.jpg,9180
Motorcycle,SIGMA 16mm F1.4 DC DN Contemporary(公司貨) for SONY E-MOUNT,"SIGMA 16mm F1.4 DC DN Contemporary(公司貨) for SONY E-MOUNT\r\n■總代理恆伸公司貨三年保固 
■大光圈人像鏡。 
■微單眼專用鏡頭，mft接環。",https://c.ecimg.tw/items/DGBS2VA9009GDDL/000002_1611542790.jpg,10700
Motorcycle,BenQ WiT ScreenBar螢幕智能掛燈,"BenQ  ScreenBar e-Reading lamp 螢幕智能掛燈 ▼護眼爆夯搶購品▼\r\n■ 環境光感應器能自動補足照度500lux 
■ 專利設計夾具一秒掛上螢幕
■ 非對稱光學設計，螢幕0反光
■ 不閃爍、無藍光危害
■ 8段ansi white色溫調整(2700k~6500k)
■ usb供電 (5v 1a)",https://c.ecimg.tw/items/DMAL6PA9008KKMI/000001_1614657778.jpg,2990
Motorcycle,Acer XV272U P,"★原價$16900↘狂降特賣→要買要快★acer Nitro XV272U P  27吋2K廣視角電競螢幕\r\n2560x1440 2k高解析
ips 178度廣視角
最高亮度：400 cd ㎡
zero frame 無邊框設計
amd freesync技術
1ms急速反應時間
144hz更新頻率
display hdr 400認證
dci-p3 95%
高色準delta e",https://c.ecimg.tw/items/DSABEE1900ANIOW/000002_1589248252.jpg,8999
Motorcycle,GOO.N 大王NHK紙尿褲-黏貼型L (68片x3包/箱),"每日強檔‧瘋殺特賣GOO.N 大王NHK紙尿褲-黏貼型L (68片x3包/箱)\r\n《瘋殺特賣★限時狂降》 
開始﹕０３／０３ (星期三) １０：００
結束﹕０３／０４ (星期四) １０：００
網路價$1399．限時價↘$１１９９
數量有限~要搶要快唷！

腰部棉柔舒適 溫柔貼合 不外露
空氣導流夾層，迅速排出濕氣
表層添加維他命ｅ，敏感肌寶寶也適用",https://c.ecimg.tw/items/DAAO0FA900AQTSJ/000002_1614735225.jpg,1199
Motorcycle,曼黛瑪璉 V極線內衣  B-E罩杯(冰河灰),"曼黛瑪璉 V極線內衣  B-E罩杯(冰河灰)\r\nr62146-bs40
【性感雅緻 無限蔓延】
輕盈睫毛蕾絲由下襬至肩把延伸設計
在魅惑帶著雅緻氛圍中，訴說妳的迷人蛻變

【低脊高脅邊 極限包覆】
高脅低脊機能版型，完整包覆脅邊腋下脂肪
讓穿著更加穩定，修飾美化身型

【穩定提托 服貼升級】
插片條與鋼圈條使用一體成型織帶
增加側推提拉，穿著服貼穩定

＊全尺碼皆有假袋＊
＊b~d附活動式襯墊＊
＊背鉤採用3排3鉤(57mm)設計＊
＊肩帶不可拆＊",https://c.ecimg.tw/items/DIDF00A9009WWRN/000002_1609740610.jpg,500
